,No,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007
0,1,2,50,12500,98,1
1,2,0,13,3250,28,1
2,3,1,16,4000,35,1
3,4,2,20,5000,45,1
4,5,1,24,6000,77,0
5,6,4,4,1000,4,0
6,7,2,7,1750,14,1
7,8,1,12,3000,35,0
8,9,2,9,2250,22,1
9,10,5,46,11500,98,1
10,11,4,23,5750,58,0
11,12,0,3,750,4,0
12,13,2,10,2500,28,1
13,14,1,13,3250,47,0
14,15,2,6,1500,15,1
15,16,2,5,1250,11,1
16,17,2,14,3500,48,1
17,18,2,15,3750,49,1
18,19,2,6,1500,15,1
19,20,2,3,750,4,1
20,21,2,3,750,4,1
21,22,4,11,2750,28,0
22,23,2,6,1500,16,1
23,24,2,6,1500,16,1
24,25,9,9,2250,16,0
25,26,4,14,3500,40,0
26,27,4,6,1500,14,0
27,28,4,12,3000,34,1
28,29,4,5,1250,11,1
29,30,4,8,2000,21,0
30,31,1,14,3500,58,0
31,32,4,10,2500,28,1
32,33,4,10,2500,28,1
33,34,4,9,2250,26,1
34,35,2,16,4000,64,0
35,36,2,8,2000,28,1
36,37,2,12,3000,47,1
37,38,4,6,1500,16,1
38,39,2,14,3500,57,1
39,40,4,7,1750,22,1
40,41,2,13,3250,53,1
41,42,2,5,1250,16,0
42,43,2,5,1250,16,1
43,44,2,5,1250,16,0
44,45,4,20,5000,69,1
45,46,4,9,2250,28,1
46,47,2,9,2250,36,0
47,48,2,2,500,2,0
48,49,2,2,500,2,0
49,50,2,2,500,2,0
50,51,2,11,2750,46,0
51,52,2,11,2750,46,1
52,53,2,6,1500,22,0
53,54,2,12,3000,52,0
54,55,4,5,1250,14,1
55,56,4,19,4750,69,1
56,57,4,8,2000,26,1
57,58,2,7,1750,28,1
58,59,2,16,4000,81,0
59,60,3,6,1500,21,0
60,61,2,7,1750,29,0
61,62,2,8,2000,35,1
62,63,2,10,2500,49,0
63,64,4,5,1250,16,1
64,65,2,3,750,9,1
65,66,3,16,4000,74,0
66,67,2,4,1000,14,1
67,68,0,2,500,4,0
68,69,4,7,1750,25,0
69,70,1,9,2250,51,0
70,71,2,4,1000,16,0
71,72,2,4,1000,16,0
72,73,4,17,4250,71,1
73,74,2,2,500,4,0
74,75,2,2,500,4,1
75,76,2,2,500,4,1
76,77,2,4,1000,16,1
77,78,2,2,500,4,0
78,79,2,2,500,4,0
79,80,2,2,500,4,0
80,81,4,6,1500,23,1
81,82,2,4,1000,16,0
82,83,2,4,1000,16,0
83,84,2,4,1000,16,0
84,85,2,6,1500,28,1
85,86,2,6,1500,28,0
86,87,4,2,500,4,0
87,88,4,2,500,4,0
88,89,4,2,500,4,0
89,90,2,7,1750,35,1
90,91,4,2,500,4,1
91,92,4,2,500,4,0
92,93,4,2,500,4,0
93,94,4,2,500,4,0
94,95,12,11,2750,23,0
95,96,4,7,1750,28,0
96,97,3,17,4250,86,0
97,98,4,9,2250,38,1
98,99,4,4,1000,14,1
99,100,5,7,1750,26,1
100,101,4,8,2000,34,1
101,102,2,13,3250,76,1
102,103,4,9,2250,40,0
103,104,2,5,1250,26,0
104,105,2,5,1250,26,0
105,106,6,17,4250,70,0
106,107,0,8,2000,59,0
107,108,3,5,1250,26,0
108,109,2,3,750,14,0
109,110,2,10,2500,64,0
110,111,4,5,1250,23,1
111,112,4,9,2250,46,0
112,113,4,5,1250,23,0
113,114,4,8,2000,40,1
114,115,2,12,3000,82,0
115,116,11,24,6000,64,0
116,117,2,7,1750,46,1
117,118,4,11,2750,61,0
118,119,1,7,1750,57,0
119,120,2,11,2750,79,1
120,121,2,3,750,16,1
121,122,4,5,1250,26,1
122,123,2,6,1500,41,1
123,124,2,5,1250,33,1
124,125,2,4,1000,26,0
125,126,2,5,1250,34,0
126,127,4,8,2000,46,1
127,128,2,4,1000,26,0
128,129,4,8,2000,48,1
129,130,2,2,500,10,1
130,131,4,5,1250,28,0
131,132,2,12,3000,95,0
132,133,2,2,500,10,0
133,134,4,6,1500,35,0
134,135,2,11,2750,88,0
135,136,2,3,750,19,0
136,137,2,5,1250,37,0
137,138,2,12,3000,98,0
138,139,9,5,1250,19,0
139,140,2,2,500,11,0
140,141,2,9,2250,74,0
141,142,5,14,3500,86,0
142,143,4,3,750,16,0
143,144,4,3,750,16,0
144,145,4,2,500,9,1
145,146,4,3,750,16,1
146,147,6,3,750,14,0
147,148,2,2,500,11,0
148,149,2,2,500,11,1
149,150,2,2,500,11,0
150,151,2,7,1750,58,1
151,152,4,6,1500,39,0
152,153,4,11,2750,78,0
153,154,2,1,250,2,1
154,155,2,1,250,2,0
155,156,2,1,250,2,0
156,157,2,1,250,2,0
157,158,2,1,250,2,0
